Number,Name,Address,Latitude,Longitude
95,ROYAL HOSPITAL,Royal Hospital,53.343897,-6.29706
93,HEUSTON STATION (CENTRAL),Heuston Station (Central),53.346603,-6.296924
22,TOWNSEND STREET,Townsend Street,53.345922,-6.254614
34,PORTOBELLO HARBOUR,Portobello Harbour,53.330362,-6.265163
8,CUSTOM HOUSE QUAY,Custom House Quay,53.347884,-6.248048
27,MOLESWORTH STREET,Molesworth Street,53.341288,-6.258117
96,KILMAINHAM LANE,Kilmainham Lane,53.341805,-6.305085
76,MARKET STREET SOUTH,Market Street South,53.342296,-6.287661
71,KEVIN STREET,Kevin Street,53.337757,-6.267699
79,ECCLES STREET EAST,Eccles Street East,53.358115,-6.265601
69,GRAND CANAL DOCK,Grand Canal Dock,53.342638,-6.238695
25,MERRION SQUARE EAST,Merrion Square East,53.339434,-6.246548
51,YORK STREET WEST,York Street West,53.339334,-6.264699
37,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,53.337494,-6.26199
59,DENMARK STREET GREAT,Denmark Street Great,53.35561,-6.261397
94,HEUSTON STATION (CAR PARK),Heuston Station (Car Park),53.346985,-6.297804
36,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,53.337824,-6.256035
12,ECCLES STREET,Eccles Street,53.359246,-6.269779
78,MATER HOSPITAL,Mater Hospital,53.359967,-6.264828
2,BLESSINGTON STREET,Blessington Street,53.356769,-6.26814
26,MERRION SQUARE WEST,Merrion Square West,53.339764,-6.251988
65,CONVENTION CENTRE,Convention Centre,53.34744,-6.238523
15,HARDWICKE STREET,Hardwicke Street,53.355473,-6.264423
35,SMITHFIELD,Smithfield,53.347692,-6.278214
10,DAME STREET,Dame Street,53.344007,-6.266802
64,SANDWITH STREET,Sandwith Street,53.345203,-6.247163
33,PRINCES STREET / O'CONNELL STREET,Princes Street / O'Connell Street,53.349013,-6.260311
57,GRATTAN STREET,Grattan Street,53.339629,-6.243778
80,ST JAMES HOSPITAL (LUAS),St James Hospital (Luas),53.341359,-6.292951
3,BOLTON STREET,Bolton Street,53.351182,-6.269859
46,STRAND STREET GREAT,Strand Street Great,53.347082,-6.264192
70,BARROW STREET,Barrow Street,53.341655,-6.236198
28,MOUNTJOY SQUARE WEST,Mountjoy Square West,53.356299,-6.258586
39,WILTON TERRACE,Wilton Terrace,53.332383,-6.252717
21,LEINSTER STREET SOUTH,Leinster Street South,53.34218,-6.254485
75,JAMES STREET,James Street,53.343456,-6.287409
86,PARKGATE STREET,Parkgate Street,53.347972,-6.291804
100,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),53.347106,-6.292041
24,CATHAL BRUGHA STREET,Cathal Brugha Street,53.352149,-6.260533
85,ROTHE ABBEY,Rothe Abbey,53.338776,-6.30395
44,UPPER SHERRARD STREET,Upper Sherrard Street,53.358437,-6.260641
89,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,53.335211,-6.2509
41,HARCOURT TERRACE,Harcourt Terrace,53.332763,-6.257942
40,JERVIS STREET,Jervis Street,53.3483,-6.266651
29,ORMOND QUAY UPPER,Ormond Quay Upper,53.346057,-6.268001
83,EMMET ROAD,Emmet Road,53.340714,-6.308191
92,HEUSTON BRIDGE (NORTH),Heuston Bridge (North),53.347802,-6.292432
88,BLACKHALL PLACE,Blackhall Place,53.3488,-6.281637
